Publication Years	Record Count	% of 558
2013	47	8.423
2018	46	8.244
2016	37	6.631
2017	37	6.631
2015	35	6.272
2019	33	5.914
2020	33	5.914
2021	28	5.018
2014	25	4.480
2007	23	4.122
2010	22	3.943
2011	22	3.943
2006	20	3.584
2009	19	3.405
2012	19	3.405
2008	18	3.226
2022	15	2.688
2003	13	2.330
2004	13	2.330
2001	8	1.434
1999	7	1.254
2005	7	1.254
2002	6	1.075
1994	5	0.896
2000	4	0.717
1980	3	0.538
1978	2	0.358
1998	2	0.358
1979	1	0.179
1981	1	0.179
1982	1	0.179
1983	1	0.179
1991	1	0.179
1993	1	0.179
1995	1	0.179
1996	1	0.179
2023	1	0.179
