Publication Years	Record Count	% of 4.611
2014	309	6.701
2008	258	5.595
2015	234	5.075
2012	220	4.771
2013	211	4.576
2011	209	4.533
2016	206	4.468
2017	201	4.359
2022	193	4.186
2007	181	3.925
2009	181	3.925
2021	180	3.904
2020	179	3.882
2010	177	3.839
2019	173	3.752
2018	160	3.470
2005	155	3.362
2006	144	3.123
2002	126	2.733
2003	125	2.711
2000	124	2.689
2004	113	2.451
2001	107	2.321
1999	104	2.255
1998	83	1.800
1997	69	1.496
1996	60	1.301
1995	40	0.867
1992	19	0.412
2023	17	0.369
1991	13	0.282
1994	13	0.282
1993	12	0.260
1988	5	0.108
1987	3	0.065
1989	3	0.065
1990	3	0.065
1986	1	0.022
