Publication Years	Record Count	% of 1.747
2016	136	7.785
2019	121	6.926
2017	107	6.125
2015	93	5.323
2020	84	4.808
2014	83	4.751
2018	82	4.694
2010	75	4.293
2021	72	4.121
2013	71	4.064
2008	64	3.663
2012	60	3.434
2007	54	3.091
2009	49	2.805
2011	43	2.461
2022	42	2.404
2005	38	2.175
2001	37	2.118
2003	37	2.118
2002	36	2.061
2004	35	2.003
2006	35	2.003
1999	31	1.774
1996	30	1.717
1998	29	1.660
1995	28	1.603
2000	27	1.546
1997	24	1.374
1992	21	1.202
1991	19	1.088
1994	15	0.859
1989	11	0.630
1993	11	0.630
1990	10	0.572
1986	7	0.401
1988	7	0.401
1982	6	0.343
1983	6	0.343
1987	6	0.343
1984	5	0.286
