Publication Years	Record Count	% of 680
2016	100	14.706
2014	38	5.588
2015	36	5.294
2010	35	5.147
2017	34	5.000
2018	33	4.853
2019	30	4.412
2008	29	4.265
2013	29	4.265
2020	27	3.971
2009	22	3.235
2012	22	3.235
2007	17	2.500
2021	17	2.500
1999	15	2.206
2002	15	2.206
2000	13	1.912
2004	13	1.912
2003	12	1.765
2011	12	1.765
2001	11	1.618
2005	11	1.618
2006	11	1.618
1996	10	1.471
1997	10	1.471
1998	10	1.471
1995	9	1.324
2022	9	1.324
1994	8	1.176
1989	6	0.882
1991	6	0.882
1992	6	0.882
1986	5	0.735
1984	4	0.588
1990	4	0.588
1983	3	0.441
1993	3	0.441
1982	2	0.294
1988	2	0.294
1987	1	0.147
