Publication Years	Record Count	% of 4.467
2021	461	10.320
2020	360	8.059
2022	346	7.746
2019	283	6.335
2018	265	5.932
2014	252	5.641
2015	248	5.552
2017	214	4.791
2016	209	4.679
2013	193	4.321
2012	174	3.895
2011	136	3.045
2006	134	3.000
2009	133	2.977
2007	131	2.933
2010	126	2.821
2008	103	2.306
2004	70	1.567
2001	63	1.410
2005	62	1.388
2003	59	1.321
1997	55	1.231
2023	50	1.119
2002	46	1.030
1999	37	0.828
1996	35	0.784
1998	32	0.716
1992	28	0.627
1995	27	0.604
2000	27	0.604
1993	24	0.537
1994	24	0.537
1991	11	0.246
1990	10	0.224
1986	7	0.157
1977	4	0.090
1984	4	0.090
1988	4	0.090
1989	3	0.067
1976	2	0.045
1978	2	0.045
1979	2	0.045
1981	2	0.045
1982	2	0.045
1983	2	0.045
1985	2	0.045
1987	2	0.045
1980	1	0.022
