Publication Years	Record Count	% of 2.733
2020	179	6.550
2021	166	6.074
2019	156	5.708
2018	155	5.671
2014	152	5.562
2013	151	5.525
2022	151	5.525
2017	144	5.269
2012	127	4.647
2011	122	4.464
2016	122	4.464
2015	120	4.391
2010	116	4.244
2008	107	3.915
2009	99	3.622
2007	90	3.293
2006	70	2.561
2004	49	1.793
2002	44	1.610
2003	40	1.464
1999	36	1.317
2005	34	1.244
2000	33	1.207
1997	30	1.098
1995	29	1.061
2001	28	1.025
1991	27	0.988
1994	27	0.988
1992	26	0.951
1996	26	0.951
1993	24	0.878
1998	23	0.842
1980	5	0.183
1976	4	0.146
1978	4	0.146
1990	4	0.146
1977	2	0.073
1986	2	0.073
1974	1	0.037
1979	1	0.037
1982	1	0.037
1983	1	0.037
1984	1	0.037
1985	1	0.037
1987	1	0.037
1988	1	0.037
1989	1	0.037
