Publication Years	Record Count	% of 17.034
2021	1235	7.250
2020	1081	6.346
2022	1054	6.188
2014	1026	6.023
2018	974	5.718
2017	938	5.507
2019	937	5.501
2015	915	5.372
2016	868	5.096
2013	861	5.055
2012	776	4.556
2011	695	4.080
2010	601	3.528
2008	584	3.428
2009	572	3.358
2007	547	3.211
2006	468	2.747
2005	330	1.937
2004	328	1.926
2003	309	1.814
2002	270	1.585
2001	236	1.385
2000	221	1.297
1999	207	1.215
1997	166	0.975
1998	156	0.916
1996	123	0.722
1995	97	0.569
2023	96	0.564
1992	73	0.429
1994	70	0.411
1993	62	0.364
1991	54	0.317
1990	17	0.100
1986	10	0.059
1988	10	0.059
1980	9	0.053
1978	8	0.047
1989	7	0.041
1976	6	0.035
1977	6	0.035
1987	6	0.035
1984	5	0.029
1979	4	0.023
1982	4	0.023
1983	4	0.023
1981	3	0.018
1985	3	0.018
1974	2	0.012
