Publication Years	Record Count	% of 6.906
2021	583	8.442
2018	572	8.283
2020	550	7.964
2017	538	7.790
2016	490	7.095
2019	487	7.052
2022	450	6.516
2015	440	6.371
2014	403	5.836
2013	379	5.488
2012	328	4.749
2011	290	4.199
2009	212	3.070
2010	209	3.026
2007	162	2.346
2008	155	2.244
2006	124	1.796
2004	85	1.231
2003	75	1.086
2005	75	1.086
2002	65	0.941
2000	45	0.652
2001	44	0.637
1999	40	0.579
2023	27	0.391
1997	25	0.362
1998	25	0.362
1995	8	0.116
1993	6	0.087
1992	4	0.058
1994	4	0.058
1996	3	0.043
1978	1	0.014
1989	1	0.014
1991	1	0.014
